foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,一般建築,8.0,照南里,苗栗縣竹南鎮照南里1鄰中山路162號,24.68683,120.88061,1.0,37.0,鐵路警察局臺中分局,竹南車站
苗栗分局,HMA00489,8.0,綠苗里,苗栗縣苗栗市米市街80號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00496,8.0,綠苗里,苗栗縣苗栗市光復路117號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00497,8.0,綠苗里,苗栗縣苗栗市米市街50號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00004,8.0,綠苗里,苗栗縣苗栗市博愛街65巷3號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0001,8.0,綠苗里,苗栗縣苗栗市光復路119號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00014,8.0,綠苗里,苗栗縣苗栗市中正路727號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00015,8.0,綠苗里,苗栗縣苗栗市光復路116號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00016,8.0,綠苗里,苗栗縣苗栗市博愛街109號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00017,8.0,綠苗里,苗栗縣苗栗市光復路114號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00018,8.0,綠苗里,苗栗縣苗栗市米市街98號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00019,8.0,綠苗里,苗栗縣苗栗市米市街99號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0002,8.0,綠苗里,苗栗縣苗栗市米市街97號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00020,8.0,綠苗里,苗栗縣苗栗市光復路77號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00021,8.0,綠苗里,苗栗縣苗栗市日新街32號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00022,8.0,綠苗里,苗栗縣苗栗市米市街52號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00023,8.0,綠苗里,苗栗縣苗栗市大同路53號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00024,8.0,青苗里,苗栗縣苗栗市僑育街7號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00025,8.0,青苗里,苗栗縣苗栗市至公路56巷19號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00026,8.0,青苗里,苗栗縣苗栗市至公路85號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00027,8.0,青苗里,苗栗縣苗栗市維新街34號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00028,8.0,青苗里,苗栗縣苗栗市至公路6巷8號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00029,8.0,青苗里,苗栗縣苗栗市至公路56巷15號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0003,8.0,青苗里,苗栗縣苗栗市民生街20號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00030,8.0,青苗里,苗栗縣苗栗市中正路587號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00032,8.0,青苗里,苗栗縣苗栗市中正路585號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00033,8.0,青苗里,苗栗縣苗栗市中山路634號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00034,8.0,青苗里,苗栗縣苗栗市建台街29號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA001214,8.0,青苗里,苗栗縣苗栗市維新街21號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00035,8.0,青苗里,苗栗縣苗栗市民生街16號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00036,8.0,青苗里,苗栗縣苗栗市中正路623號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00037,8.0,青苗里,苗栗縣苗栗市中正路615號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00038,8.0,青苗里,苗栗縣苗栗市中正路617號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00039,8.0,青苗里,苗栗縣苗栗市中山路608號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0004,8.0,青苗里,苗栗縣苗栗市維新街32號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00040,8.0,青苗里,苗栗縣苗栗市中山路625號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00041,8.0,青苗里,苗栗縣苗栗市中正路611號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00042,8.0,青苗里,苗栗縣苗栗市中正路691號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00043,8.0,青苗里,苗栗縣苗栗市至公路53號之2,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00044,8.0,青苗里,苗栗縣苗栗市維新街6號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00045,8.0,青苗里,苗栗縣苗栗市至公路48號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00046,8.0,青苗里,苗栗縣苗栗市中正路609號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00047,8.0,青苗里,苗栗縣苗栗市至公路29號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00048,8.0,青苗里,苗栗縣苗栗市中正路621號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA000484,8.0,青苗里,苗栗縣苗栗市中正路586號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00049,8.0,青苗里,苗栗縣苗栗市中正路584號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0005,8.0,青苗里,苗栗縣苗栗市中正路657號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00051,8.0,青苗里,苗栗縣苗栗市中正路631號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00052,8.0,青苗里,苗栗縣苗栗市建台街25號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00053,8.0,青苗里,苗栗縣苗栗市至公路56巷13號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00054,8.0,青苗里,苗栗縣苗栗市至公路56巷11號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00055,8.0,青苗里,苗栗縣苗栗市至公路56巷17號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00056,8.0,青苗里,苗栗縣苗栗市至公路56巷5號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00057,8.0,高苗里,苗栗縣苗栗市中正路810號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00058,8.0,高苗里,苗栗縣苗栗市中正路816號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00059,8.0,高苗里,苗栗縣苗栗市中正路934號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0006,8.0,高苗里,苗栗縣苗栗市中正路844號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00060,8.0,高苗里,苗栗縣苗栗市日新街35巷3弄4號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00061,8.0,高苗里,苗栗縣苗栗市光復路38號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00062,8.0,高苗里,苗栗縣苗栗市光復路46號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00063,8.0,高苗里,苗栗縣苗栗市日新街49號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00064,8.0,高苗里,苗栗縣苗栗市日新街83號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00065,8.0,高苗里,苗栗縣苗栗市日新街85號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00066,8.0,高苗里,苗栗縣苗栗市光復路25號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00067,8.0,高苗里,苗栗縣苗栗市天雲街33號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00068,8.0,高苗里,苗栗縣苗栗市天雲街51號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00069,8.0,高苗里,苗栗縣苗栗市天雲街56號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA0007,8.0,高苗里,苗栗縣苗栗市大同路99號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00070,8.0,高苗里,苗栗縣苗栗市光復路11號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00071,8.0,高苗里,苗栗縣苗栗市中正路886號,24.68683,120.88061,1.0,37.0,苗栗分局,
苗栗分局,HMA00072,8.0,高苗里,苗栗縣苗栗市大同路103號,24.68683,120.88061,1.0,37.0,苗栗分局,
