foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
鹿港分局,鹿港分局,293.0,大有里,鹿港鎮大有里公園一路52號,,,1.0,1429.0,,
鹿港分局,鹿港分局,272.0,中興里,鹿港鎮中興里民族路120號,,,1.0,1286.0,,
鹿港分局,鹿港分局,269.0,順興里,鹿港鎮順興里復興路485號,,,1.0,407.0,,
鹿港分局,鹿港分局,48.0,頂厝里,鹿港鎮頂厝里舊港巷143號,,,1.0,333.0,,
鹿港分局,鹿港分局,212.0,頂厝里,鹿港鎮頂厝里鹿和路1段411號,,,1.0,32.0,,
鹿港分局,鹿港分局,255.0,埔崙里,鹿港鎮埔崙里中正路445號,,,1.0,809.0,,
鹿港分局,鹿港分局,281.0,新宮里,鹿港鎮新宮里中山路475號,,,1.0,1263.0,,
鹿港分局,鹿港分局,165.0,頂厝里,鹿港鎮頂厝里民有街40號,,,1.0,64.0,,
鹿港分局,鹿港分局,270.0,埔崙里,鹿港鎮埔崙里永祥街5號,,,1.0,854.0,,
鹿港分局,鹿港分局,279.0,埔崙里,鹿港鎮埔崙里明德街1號,,,1.0,210.0,,
鹿港分局,鹿港分局,209.0,埔崙里,鹿港鎮海浴路466號,,,1.0,222.0,,
鹿港分局,鹿港分局,236.0,埔崙里,鹿港鎮海浴路466號,,,1.0,222.0,,
鹿港分局,鹿港分局,276.0,永安里,鹿港鎮永安里光明街110號,,,1.0,890.0,,
鹿港分局,鹿港分局,312.0,東石里,鹿港鎮東石里鹿工路11號,,,1.0,203.0,,
鹿港分局,鹿港分局,317.0,東石里,鹿港鎮東石里鹿工路11號,,,1.0,2758.0,,
鹿港分局,鹿港分局,297.0,東石里,鹿港鎮東石里鹿工路7號,,,1.0,67.0,,
鹿港分局,鹿港分局,299.0,東石里,鹿港鎮東石里鹿工南一路6號,,,1.0,2192.0,,
鹿港分局,鹿港分局,294.0,東石里,鹿港鎮東石里鹿工南二路19號,,,1.0,251.0,,
鹿港分局,鹿港分局,313.0,東石里,鹿港鎮東石里工業東二路8號,,,1.0,40.0,,
鹿港分局,鹿港分局,304.0,東石里,鹿港鎮東石里鹿工南二路15號,,,1.0,283.0,,
鹿港分局,鹿港分局,331.0,東石里,鹿港鎮東石里鹿工南二路17號,,,1.0,145.0,,
鹿港分局,鹿港分局,334.0,東石里,鹿港鎮東石里鹿工南二路32號,,,1.0,84.0,,
鹿港分局,鹿港分局,356.0,東石里,鹿港鎮東石里鹿工南二路27號,,,1.0,274.0,,
鹿港分局,鹿港分局,358.0,東石里,鹿港鎮東石里鹿工南二路25號,,,1.0,194.0,,
鹿港分局,鹿港分局,332.0,東石里,鹿港鎮東石里鹿工南三路8號,,,1.0,157.0,,
鹿港分局,鹿港分局,350.0,東石里,鹿港鎮東石里鹿工南三路8號,,,1.0,157.0,,
鹿港分局,鹿港分局,341.0,東石里,鹿港鎮東石里鹿工南三路38號,,,1.0,257.0,,
鹿港分局,鹿港分局,349.0,東石里,鹿港鎮東石里鹿工南六路7號,,,1.0,138.0,,
鹿港分局,鹿港分局,322.0,東石里,鹿港鎮東石里鹿工西六路6號,,,1.0,822.0,,
鹿港分局,鹿港分局,343.0,東石里,鹿港鎮東石里工業東二路8號,,,1.0,40.0,,
鹿港分局,鹿港分局,340.0,東石里,鹿港鎮東石里工業東二路10號,,,1.0,230.0,,
鹿港分局,鹿港分局,362.0,東石里,鹿港鎮東石里工業西一路58號,,,1.0,1684.0,,
鹿港分局,鹿港分局,328.0,東石里,鹿港鎮東石里工業西六路25號,,,1.0,91.0,,
鹿港分局,鹿港分局,353.0,東石里,鹿港鎮東石里環工五路12號,,,1.0,52.0,,
鹿港分局,鹿港分局,258.0,永安里,鹿港鎮永安里永安三路43號,,,1.0,365.0,,
鹿港分局,鹿港分局,259.0,永安里,鹿港鎮永安里永安三路65號,,,1.0,584.0,,
鹿港分局,鹿港分局,273.0,頂厝里,鹿港鎮頂厝里民主街25號,,,1.0,768.0,,
鹿港分局,鹿港分局,286.0,頂厝里,鹿港鎮頂厝里鹿和路一段409巷21號,,,1.0,36.0,,
鹿港分局,鹿港分局,337.0,埔崙里,鹿港鎮埔崙里中正路588號,,,1.0,5545.0,,
鹿港分局,鹿港分局,283.0,東石里,鹿港鎮東石里永春街109號,,,1.0,1077.0,,
鹿港分局,鹿港分局,243.0,泰興里,鹿港鎮館前路48號,,,1.0,693.0,,
鹿港分局,鹿港分局,239.0,街尾里,鹿港鎮街尾里中山南路2號,,,1.0,822.0,,
鹿港分局,鹿港分局,244.0,街尾里,鹿港鎮街尾里中山南路47號,,,1.0,322.0,,
鹿港分局,鹿港分局,245.0,街尾里,鹿港鎮街尾里中山南路36號,,,1.0,1447.0,,
鹿港分局,鹿港分局,364.0,街尾里,鹿港鎮街尾里龍舟路22號,,,1.0,883.0,,
鹿港分局,鹿港分局,251.0,景福里,鹿港鎮景福里民權路168號,,,1.0,605.0,,
鹿港分局,鹿港分局,347.0,景福里,鹿港鎮景福里民族路56號,,,1.0,807.0,,
鹿港分局,鹿港分局,290.0,海埔里,鹿港鎮海埔里工業東四路7號,,,1.0,52.0,,
鹿港分局,鹿港分局,295.0,海埔里,鹿港鎮海埔里鹿工路24號,,,1.0,93.0,,
鹿港分局,鹿港分局,298.0,海埔里,鹿港鎮海埔里鹿工北二路3號,,,1.0,100.0,,
鹿港分局,鹿港分局,301.0,海埔里,鹿港鎮海埔里工業東四路14號,,,1.0,334.0,,
鹿港分局,鹿港分局,307.0,海埔里,鹿港鎮海埔里海明街301巷18號,,,1.0,204.0,,
鹿港分局,鹿港分局,308.0,海埔里,鹿港鎮海埔里鹿工北一路3號,,,1.0,51.0,,
鹿港分局,鹿港分局,318.0,海埔里,鹿港鎮海埔里鹿工北一路11號,,,1.0,165.0,,
鹿港分局,鹿港分局,250.0,草中里,鹿港鎮草中里鹿草路四段2號,,,1.0,346.0,,
鹿港分局,鹿港分局,282.0,頭南里,鹿港鎮頭南里南勢巷20-7號,,,1.0,640.0,,
鹿港分局,鹿港分局,114.0,東崎里,鹿港鎮東崎里彰鹿路五段276號,,,1.0,146.0,,
鹿港分局,鹿港分局,148.0,東崎里,鹿港鎮東崎里彰鹿路五段276號,,,1.0,424.0,,
鹿港分局,鹿港分局,324.0,東崎里,鹿港鎮東崎里祥和一街二巷1號,,,1.0,3859.0,,
鹿港分局,鹿港分局,325.0,東崎里,鹿港鎮東崎里祥和一街3號,,,1.0,1136.0,,
鹿港分局,鹿港分局,326.0,東崎里,鹿港鎮東崎里富麗二街30號,,,1.0,6450.0,,
鹿港分局,鹿港分局,327.0,東崎里,鹿港鎮東崎里富麗二街6號,,,1.0,6563.0,,
鹿港分局,鹿港分局,241.0,橋頭村,福興鄉橋頭村中正路156巷7號,,,1.0,287.0,,
鹿港分局,鹿港分局,335.0,橋頭村,福興鄉橋頭村中正路124號,,,1.0,894.0,,
鹿港分局,鹿港分局,61.0,番婆村,福興鄉番婆村彰鹿路392號,,,1.0,160.0,,
鹿港分局,鹿港分局,275.0,福興村,福興鄉福興村沿海路五段283號,,,1.0,656.0,,
鹿港分局,鹿港分局,201.0,同安村,福興鄉同安村員鹿路一段382號,,,1.0,281.0,,
鹿港分局,鹿港分局,118.0,橋頭村,福興鄉橋頭村彰鹿路七段122號,,,1.0,105.0,,
鹿港分局,鹿港分局,249.0,橋頭村,福興鄉橋頭村彰鹿路七段539號,,,1.0,630.0,,
鹿港分局,鹿港分局,227.0,安東村,秀水鄉安東村中山路290號,,,1.0,516.0,,
鹿港分局,鹿港分局,203.0,安東村,秀水鄉安東村彰水路一段421號,,,1.0,206.0,,
鹿港分局,鹿港分局,261.0,安東村,秀水鄉安東村安樂街37號,,,1.0,53.0,,
鹿港分局,鹿港分局,355.0,安東村,秀水鄉安東村中山路328號,,,1.0,661.0,,
