foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
海山、板橋,海山分局,DE04000109,德翠里,新北市板橋區龍泉街90巷1號,25.024962,121.456278,1,798.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000110,公館里,新北市板橋區漢生西路71號,25.018729,121.462877,1,1097.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000111,公館里,新北市板橋區國光路33號,25.017723,121.457234,1,149.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000112,德翠里,新北市板橋區龍泉街114號,25.024396,121.456909,1,2227.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000113,吉翠里,新北市板橋區長江路一段106巷12弄14號,25.028736,121.459733,2,1482.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000114,新翠里,新北市板橋區新海路362號,25.02524,121.459783,1,277.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000115,中正里,新北市板橋區中正路413巷12號,25.022708,121.453554,1,907.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000116,德翠里,新北市板橋區龍泉街90巷4號,25.025184,121.45625,1,1371.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000117,新翠里,新北市板橋區新海路348號,25.024675,121.460117,1,290.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000118,滿翠里,新北市板橋區龍泉街103號,25.024441,121.457266,1,17459.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000119,公館里,新北市板橋區國光路183號,25.01852,121.46092,1,1766.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000120,吉翠里,新北市板橋區長江路一段24號,,,1,291.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000121,金華里,新北市板橋區新生街29巷1號,,,1,1740.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000122,新翠里,新北市板橋區雨農路27巷52號,25.024103,121.461208,1,138.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000123,幸福里,新北市板橋區新海路135巷33號,25.022669,121.45982,1,463.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000124,新翠里,新北市板橋區雨農路21號,25.024243,121.461446,1,1438.0,鐵路警察局臺北分局,
