foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
民雄分局,民雄分局,1-01-001,中樂村,嘉義縣民雄鄉中樂村文化路7號之3,,,地下1層,121.0,,
民雄分局,民雄分局,1-01-002,中樂村,嘉義縣民雄鄉中樂村民族路42號,,,地下1層,344.0,,
民雄分局,民雄分局,1-01-003,中樂村,嘉義縣民雄鄉中樂村民族路43號之1,,,地下1層,322.0,,
民雄分局,民雄分局,1-01-004,中樂村,嘉義縣民雄鄉中樂村24鄰民族路43號,,,地下1層,2985.0,,
民雄分局,民雄分局,1-01-005,西安村,嘉義縣民雄鄉西安村12鄰保生街291號,,,地下1層,312.0,,
民雄分局,民雄分局,1-01-006,西安村,嘉義縣民雄鄉西安村民溪路46號,,,地下1層,219.0,,
民雄分局,民雄分局,1-01-007,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,71.0,,
民雄分局,民雄分局,1-01-008,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,641.0,,
民雄分局,民雄分局,1-01-009,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,77.0,,
民雄分局,民雄分局,1-01-010,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,326.0,,
民雄分局,民雄分局,1-01-011,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,810.0,,
民雄分局,民雄分局,1-01-012,西安村,嘉義縣民雄鄉西安村西安路147號,,,地下1層,885.0,,
民雄分局,民雄分局,1-01-013,西安村,嘉義縣民雄鄉西安村19鄰民族路49號,,,地下1層,625.0,,
民雄分局,民雄分局,1-01-014,西安村,嘉義縣民雄鄉西安村20鄰安和路40-1號,,,地下1層,1358.0,,
民雄分局,民雄分局,1-01-015,西安村,嘉義縣民雄鄉西安村安和路96號,,,地下1層,551.0,,
民雄分局,民雄分局,1-01-016,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,,,地下1層,233.0,,
民雄分局,民雄分局,1-01-017,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,,,地下1層,314.0,,
民雄分局,民雄分局,1-01-018,東湖村,嘉義縣民雄鄉東湖村東勢湖86號之8,,,地下1層,150.0,,
民雄分局,民雄分局,1-01-019,東榮村,嘉義縣民雄東榮村建國路2段285巷11號,,,地下1層,518.0,,
民雄分局,民雄分局,1-01-020,東榮村,嘉義縣民雄鄉東榮村民族路21號,,,地下1層,154.0,,
民雄分局,民雄分局,1-01-021,東榮村,嘉義縣民雄鄉東榮村24鄰文化路30號,,,地下1層,203.0,,
民雄分局,民雄分局,1-01-022,東榮村,嘉義縣民雄鄉東榮村建國路1段211號,,,地下1層,339.0,,
民雄分局,民雄分局,1-01-023,東榮村,嘉義縣民雄鄉東榮村文化路30號之3,,,地下1層,1543.0,,
民雄分局,民雄分局,1-01-024,東榮村,嘉義縣民雄鄉東榮村中庄108號,,,地下1層,610.0,,
民雄分局,民雄分局,1-02-001,興中村,嘉義縣民雄鄉興中村12鄰江厝店30號,,,地下1層,393.0,,
民雄分局,民雄分局,1-02-002,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,,,地下1層,125.0,,
民雄分局,民雄分局,1-02-003,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,,,地下1層,2304.0,,
