foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,政府機關,B-1,文昌里,基隆市仁愛區文昌里16鄰港西街6號,25.13284553,121.7406073,地下1層,746.0,基隆港務警察總隊老碼頭中隊,
署屬機關,政府機關,B-2,正砂里,基隆市中正區正砂里19鄰東海街8之1號,25.14239351,121.7595975,地下1層,154.0,基隆港務警察總隊大沙灣中隊,
署屬機關,陽明海運公司,C-1,太白里,基隆市中山區太白里1鄰中山四路1號,25.14901693,121.7467448,地下1層,92.0,基隆港務警察總隊新碼頭中隊,
第二分局,入船002,C-1,入船里,基隆市中正區中船路134號,25.14901693,121.7467448,1.0,231,第二分局,
第二分局,八斗002,C-1,八斗里,基隆市中正區漁港三街168號,25.14901693,121.7467448,1.0,1248,第二分局,
第二分局,中正001,C-1,中正里,基隆市中正區中正路656巷150號,25.14901693,121.7467448,1.0,137,第二分局,
第二分局,中正002,C-1,中正里,基隆市中正區中正路672號,25.14901693,121.7467448,1.0,204,第二分局,
第二分局,中正003,C-1,中正里,基隆市中正區中正路674號,25.14901693,121.7467448,1.0,192,第二分局,
第二分局,中砂001,C-1,中砂里,基隆市中正區豐稔街132號之1,25.14901693,121.7467448,2.0,289,第二分局,
第二分局,中砂002,C-1,中砂里,基隆市中正區正豐街36之1號2樓,25.14901693,121.7467448,1.0,363,第二分局,
第二分局,中砂003,C-1,中砂里,基隆市中正區豐稔街104號五樓,25.14901693,121.7467448,1.0,103,第二分局,
第二分局,中砂004,C-1,中砂里,基隆市中正區豐稔街118號,25.14901693,121.7467448,3.0,805,第二分局,
第二分局,中砂005,C-1,中砂里,基隆市中正區中正路236號,25.14901693,121.7467448,2.0,1319,第二分局,
第二分局,中船001,C-1,中船里,基隆市中正區中正路102號,25.14901693,121.7467448,1.0,411,第二分局,
第二分局,中船002,C-1,中船里,基隆市中正區中正路90號,25.14901693,121.7467448,1.0,138,第二分局,
第二分局,中船003,C-1,中船里,基隆市中正區中船路36巷4號,25.14901693,121.7467448,1.0,979,第二分局,
第二分局,中船004,C-1,中船里,基隆市中正區中船路22號,25.14901693,121.7467448,1.0,273,第二分局,
第二分局,中船005,C-1,中船里,基隆市中正區中船路36巷59號,25.14901693,121.7467448,1.0,1133,第二分局,
第二分局,中船006,C-1,中船里,基隆市中正區中船路36巷59號,25.14901693,121.7467448,1.0,811,第二分局,
第二分局,中濱001,C-1,中濱里,基隆市中正區中正路510號,25.14901693,121.7467448,1.0,175,第二分局,
第二分局,中濱004,C-1,中濱里,基隆市中正區中正路381號,25.14901693,121.7467448,1.0,427,第二分局,
第二分局,仁義004,C-1,仁義里,基隆市信義區義六路25號,25.14901693,121.7467448,2.0,187,第二分局,
第二分局,仁義005,C-1,仁義里,基隆市信義區信二路179號,25.14901693,121.7467448,1.0,824,第二分局,
第二分局,仁義006,C-1,仁義里,基隆市信義區義六路15號,25.14901693,121.7467448,1.0,203,第二分局,
第二分局,仁義007,C-1,仁義里,基隆市信義區信二路181號,25.14901693,121.7467448,1.0,310,第二分局,
第二分局,仁義008,C-1,仁義里,基隆市信義區信一路96巷7號,25.14901693,121.7467448,2.0,252,第二分局,
第二分局,仁壽002,C-1,仁壽里,基隆市信義區信二路270號,25.14901693,121.7467448,1.0,1123,第二分局,
第二分局,仁壽003,C-1,仁壽里,基隆市信義區信二路265號,25.14901693,121.7467448,1.0,153,第二分局,
第二分局,仁壽004,C-1,仁壽里,基隆市信義區信一路141巷25號,25.14901693,121.7467448,1.0,173,第二分局,
第二分局,仁壽008,C-1,仁壽里,基隆市信義區信一路133之6號,25.14901693,121.7467448,2.0,705,第二分局,
第二分局,仁壽009,C-1,仁壽里,基隆市信義區信一路148號,25.14901693,121.7467448,3.0,1834,第二分局,
第二分局,仁壽010,C-1,仁壽里,基隆市信義區信二路225號,25.14901693,121.7467448,1.0,416,第二分局,
第二分局,仁壽011,C-1,仁壽里,基隆市信義區信一路111號,25.14901693,121.7467448,1.0,71,第二分局,
第二分局,仁壽012,C-1,仁壽里,基隆市信義區信一路141巷26號,25.14901693,121.7467448,1.0,181,第二分局,
第二分局,仁壽013,C-1,仁壽里,基隆市信義區義五路13巷25號,25.14901693,121.7467448,3.0,362,第二分局,
第二分局,仁壽014,C-1,仁壽里,基隆市信義區壽山路5號,25.14901693,121.7467448,2.0,2861,第二分局,
第二分局,仁壽016,C-1,仁壽里,基隆市信義區信一路130之1號,25.14901693,121.7467448,1.0,124,第二分局,
第二分局,仁壽017,C-1,仁壽里,基隆市信義區信一路117號,25.14901693,121.7467448,2.0,207,第二分局,
第二分局,仁壽018,C-1,仁壽里,基隆市信義區義三路12巷9號,25.14901693,121.7467448,2.0,120,第二分局,
第二分局,平寮001,C-1,平寮里,基隆市中正區和一路224號,25.14901693,121.7467448,1.0,1777,第二分局,
第二分局,平寮002,C-1,平寮里,基隆市中正區和一路224號,25.14901693,121.7467448,1.0,1144,第二分局,
第二分局,平寮004,C-1,平寮里,基隆市中正區和一路199號,25.14901693,121.7467448,1.0,199,第二分局,
第二分局,平寮005,C-1,平寮里,基隆市中正區平一路480號,25.14901693,121.7467448,1.0,584,第二分局,
第二分局,正砂001,C-1,正砂里,基隆市中正區正榮街77巷53號,25.14901693,121.7467448,4.0,282,第二分局,
第二分局,正砂004,C-1,正砂里,基隆市中正區正榮街28之4號,25.14901693,121.7467448,2.0,245,第二分局,
第二分局,正砂005,C-1,正砂里,基隆市中正區正榮街28之1號,25.14901693,121.7467448,2.0,222,第二分局,
第二分局,正砂006,C-1,正砂里,基隆市中正區中正路213號,25.14901693,121.7467448,1.0,298,第二分局,
第二分局,正砂007,C-1,正砂里,基隆市中正區正榮街59號,25.14901693,121.7467448,1.0,163,第二分局,
第二分局,正砂008,C-1,正砂里,基隆市中正區中正路400之3號,25.14901693,121.7467448,1.0,982,第二分局,
第二分局,正砂009,C-1,正砂里,基隆市中正區中正路97號,25.14901693,121.7467448,2.0,318,第二分局,
第二分局,正砂010,C-1,正砂里,基隆市中正區中正路335號,25.14901693,121.7467448,3.0,489,第二分局,
第二分局,正砂012,C-1,正砂里,基隆市中正區正榮街88號,25.14901693,121.7467448,1.0,621,第二分局,
第二分局,正砂013,C-1,正砂里,基隆市中正區中正路315號,25.14901693,121.7467448,2.0,510,第二分局,
第二分局,正砂014,C-1,正砂里,基隆市中正區中正路331號,25.14901693,121.7467448,2.0,384,第二分局,
第二分局,正砂015,C-1,正砂里,基隆市中正區中正路464號,25.14901693,121.7467448,2.0,349,第二分局,
第二分局,正義001,C-1,正義里,基隆市中正區義二路162號,25.14901693,121.7467448,2.0,144,第二分局,
第二分局,正義002,C-1,正義里,基隆市中正區義二路164號之1,25.14901693,121.7467448,1.0,348,第二分局,
第二分局,正濱001,C-1,正濱里,基隆市中正區中正路742號,25.14901693,121.7467448,1.0,179,第二分局,
第二分局,正濱002,C-1,正濱里,基隆市中正區正濱路116巷75號,25.14901693,121.7467448,1.0,523,第二分局,
第二分局,正濱003,C-1,正濱里,基隆市中正區中正路607號,25.14901693,121.7467448,1.0,515,第二分局,
第二分局,孝岡001,C-1,孝岡里,基隆市信義區深澳坑路133之2號,25.14901693,121.7467448,1.0,178,第二分局,
第二分局,孝岡003,C-1,孝岡里,基隆市信義區深澳坑路277號,25.14901693,121.7467448,1.0,164,第二分局,
第二分局,孝忠001,C-1,孝忠里,基隆市信義區深溪路36巷50弄18號,25.14901693,121.7467448,2.0,2281,第二分局,
第二分局,孝忠002,C-1,孝忠里,基隆市信義區深溪路36巷42號,25.14901693,121.7467448,2.0,1182,第二分局,
第二分局,孝忠003,C-1,孝忠里,基隆市信義區深溪路36巷50弄1號,25.14901693,121.7467448,3.0,5443,第二分局,
第二分局,孝忠004,C-1,孝忠里,基隆市信義區深溪路36巷74號,25.14901693,121.7467448,1.0,2562,第二分局,
第二分局,孝忠005,C-1,孝忠里,基隆市信義區深溪路36巷102弄11號,25.14901693,121.7467448,1.0,2183,第二分局,
第二分局,孝忠006,C-1,孝忠里,基隆市信義區深溪路36巷51號,25.14901693,121.7467448,1.0,17089,第二分局,
第二分局,孝忠007,C-1,孝忠里,基隆市信義區深溪路36巷70弄8號,25.14901693,121.7467448,2.0,3971,第二分局,
第二分局,孝忠008,C-1,孝忠里,基隆市信義區深美街198號,25.14901693,121.7467448,1.0,1254,第二分局,
第二分局,孝忠009,C-1,孝忠里,基隆市信義區深溪路38巷3號,25.14901693,121.7467448,3.0,5227,第二分局,
第二分局,孝忠010,C-1,孝忠里,基隆市信義區教忠街58號,25.14901693,121.7467448,1.0,628,第二分局,
第二分局,孝深001,C-1,孝深里,基隆市信義區深澳坑路166之17號,25.14901693,121.7467448,2.0,2868,第二分局,
第二分局,孝深003,C-1,孝深里,基隆市信義區深澳坑路55之1號,25.14901693,121.7467448,1.0,1218,第二分局,
第二分局,孝深004,C-1,孝深里,基隆市信義區孝東路88號,25.14901693,121.7467448,4.0,17223,第二分局,
第二分局,孝深005,C-1,孝深里,基隆市信義區深澳坑路132號,25.14901693,121.7467448,1.0,339,第二分局,
第二分局,孝深006,C-1,孝深里,基隆市信義區深澳坑路109巷13弄7號,25.14901693,121.7467448,1.0,494,第二分局,
第二分局,孝深007,C-1,孝深里,基隆市信義區孝東路27號,25.14901693,121.7467448,1.0,776,第二分局,
第二分局,孝德001,C-1,孝德里,基隆市信義區福民街71巷3號,25.14901693,121.7467448,2.0,1177,第二分局,
第二分局,孝德002,C-1,孝德里,基隆市信義區東峰街22號,25.14901693,121.7467448,1.0,230,第二分局,
第二分局,孝德003,C-1,孝德里,基隆市信義區福民街55巷42號,25.14901693,121.7467448,1.0,297,第二分局,
第二分局,孝德004,C-1,孝德里,基隆市信義區深澳坑路6巷143號,25.14901693,121.7467448,1.0,1096,第二分局,
第二分局,孝德005,C-1,孝德里,基隆市信義區深澳坑路6巷304號,25.14901693,121.7467448,1.0,1569,第二分局,
第二分局,孝德006,C-1,孝德里,基隆市信義區深澳坑路8號,25.14901693,121.7467448,1.0,637,第二分局,
第二分局,孝德007,C-1,孝德里,基隆市信義區福民街17之1號,25.14901693,121.7467448,2.0,2414,第二分局,
第二分局,孝德008,C-1,孝德里,基隆市信義區福民街150號,25.14901693,121.7467448,2.0,1412,第二分局,
第二分局,孝德009,C-1,孝德里,基隆市信義區福民街55巷3號,25.14901693,121.7467448,1.0,3084,第二分局,
第二分局,孝德010,C-1,孝德里,基隆市信義區深澳坑路10之6號,25.14901693,121.7467448,1.0,583,第二分局,
第二分局,孝賢001,C-1,孝賢里,基隆市信義區東美二街73之1號,25.14901693,121.7467448,1.0,616,第二分局,
第二分局,孝賢002,C-1,孝賢里,基隆市信義區教孝街2號,25.14901693,121.7467448,1.0,421,第二分局,
第二分局,孝賢003,C-1,孝賢里,基隆市信義區教孝街75號,25.14901693,121.7467448,2.0,2685,第二分局,
第二分局,孝賢004,C-1,孝賢里,基隆市信義區深澳坑路2之47號,25.14901693,121.7467448,1.0,858,第二分局,
第二分局,孝賢005,C-1,孝賢里,基隆市信義區深澳坑路2之36號,25.14901693,121.7467448,2.0,1152,第二分局,
第二分局,孝賢007,C-1,孝賢里,基隆市信義區深澳坑路2之19號,25.14901693,121.7467448,1.0,190,第二分局,
第二分局,孝賢008,C-1,孝賢里,基隆市信義區深澳坑路2之9號,25.14901693,121.7467448,2.0,1665,第二分局,
第二分局,孝賢009,C-1,孝賢里,基隆市信義區深澳坑路2之5號,25.14901693,121.7467448,2.0,2506,第二分局,
第二分局,孝賢010,C-1,孝賢里,基隆市信義區教孝街79號,25.14901693,121.7467448,1.0,1580,第二分局,
第二分局,東光001,C-1,東光里,基隆市信義區東信路156號,25.14901693,121.7467448,1.0,146,第二分局,
第二分局,東光004,C-1,東光里,基隆市信義區崇法街89巷1號,25.14901693,121.7467448,3.0,3466,第二分局,
第二分局,東安001,C-1,東安里,基隆市信義區東信路2巷9號,25.14901693,121.7467448,1.0,163,第二分局,
第二分局,東安004,C-1,東安里,基隆市信義區培德路17號,25.14901693,121.7467448,1.0,84,第二分局,
第二分局,東安005,C-1,東安里,基隆市信義區培德路173號,25.14901693,121.7467448,1.0,184,第二分局,
第二分局,東安006,C-1,東安里,基隆市信義區培德路221之3號,25.14901693,121.7467448,1.0,120,第二分局,
第二分局,東安007,C-1,東安里,基隆市信義區培德路16號,25.14901693,121.7467448,1.0,136,第二分局,
第二分局,東安008,C-1,東安里,基隆市信義區培德路14巷19號,25.14901693,121.7467448,2.0,169,第二分局,
第二分局,東安009,C-1,東安里,基隆市信義區培德路75之3號,25.14901693,121.7467448,1.0,250,第二分局,
第二分局,東安010,C-1,東安里,基隆市信義區培德路189號及2樓之至12,25.14901693,121.7467448,2.0,295,第二分局,
第二分局,東安011,C-1,東安里,基隆市信義區東信路5號,25.14901693,121.7467448,1.0,149,第二分局,
第二分局,東安012,C-1,東安里,基隆市信義區東信路4號,25.14901693,121.7467448,1.0,379,第二分局,
第二分局,東明001,C-1,東明里,基隆市信義區東信路55巷17號,25.14901693,121.7467448,1.0,1008,第二分局,
第二分局,東明002,C-1,東明里,基隆市信義區東信路35巷110號,25.14901693,121.7467448,1.0,344,第二分局,
第二分局,東明003,C-1,東明里,基隆市信義區東信路55巷42之3號,25.14901693,121.7467448,1.0,146,第二分局,
第二分局,東明004,C-1,東明里,基隆市信義區東光路42號,25.14901693,121.7467448,3.0,204,第二分局,
第二分局,東明005,C-1,東明里,基隆市信義區東信路71號,25.14901693,121.7467448,1.0,849,第二分局,
第二分局,東明006,C-1,東明里,基隆市信義區東信路37號,25.14901693,121.7467448,1.0,395,第二分局,
第二分局,東明007,C-1,東明里,基隆市信義區東光路201之1號,25.14901693,121.7467448,3.0,1235,第二分局,
第二分局,東明008,C-1,東明里,基隆市信義區東光路40之2號,25.14901693,121.7467448,1.0,140,第二分局,
第二分局,東明009,C-1,東明里,基隆市信義區東光路40之3號,25.14901693,121.7467448,1.0,166,第二分局,
第二分局,東信001,C-1,東信里,基隆市信義區東信路180巷28號,25.14901693,121.7467448,1.0,199,第二分局,
第二分局,東信002,C-1,東信里,基隆市信義區花源五街47號,25.14901693,121.7467448,1.0,1005,第二分局,
第二分局,東信003,C-1,東信里,基隆市信義區花源五街1號,25.14901693,121.7467448,2.0,2296,第二分局,
第二分局,東信004,C-1,東信里,基隆市信義區正信路227巷21弄8號,25.14901693,121.7467448,3.0,11038,第二分局,
第二分局,東信005,C-1,東信里,基隆市信義區東信路236巷32號,25.14901693,121.7467448,2.0,3692,第二分局,
第二分局,東信006,C-1,東信里,基隆市信義區正信路295號,25.14901693,121.7467448,1.0,397,第二分局,
第二分局,社寮001,C-1,社寮里,基隆市中正區和一路155巷14號,25.14901693,121.7467448,1.0,378,第二分局,
第二分局,信義001,C-1,信義里,基隆市中正區義二路175號,25.14901693,121.7467448,1.0,229,第二分局,
第二分局,信綠002,C-1,信綠里,基隆市信義區正信路24之5號,25.14901693,121.7467448,1.0,285,第二分局,
第二分局,信綠004,C-1,信綠里,基隆市信義區正信路24之52號,25.14901693,121.7467448,1.0,225,第二分局,
第二分局,信綠005,C-1,信綠里,基隆市信義區正信路26號,25.14901693,121.7467448,1.0,170,第二分局,
第二分局,信綠006,C-1,信綠里,基隆市信義區正信路26號,25.14901693,121.7467448,1.0,288,第二分局,
第二分局,信綠007,C-1,信綠里,基隆市信義區東信路306號,25.14901693,121.7467448,1.0,182,第二分局,
第二分局,信綠008,C-1,信綠里,基隆市信義區東信路169號,25.14901693,121.7467448,1.0,209,第二分局,
第二分局,信綠009,C-1,信綠里,基隆市信義區正信路35號,25.14901693,121.7467448,1.0,98,第二分局,
第二分局,信綠010,C-1,信綠里,基隆市信義區正信路215號,25.14901693,121.7467448,1.0,278,第二分局,
第二分局,信綠011,C-1,信綠里,基隆市信義區正信路95號,25.14901693,121.7467448,1.0,157,第二分局,
第二分局,信綠013,C-1,信綠里,基隆市信義區正信路179號,25.14901693,121.7467448,1.0,791,第二分局,
第二分局,信綠014,C-1,信綠里,基隆市信義區正信路223號,25.14901693,121.7467448,2.0,279,第二分局,
第二分局,信綠015,C-1,信綠里,基隆市信義區正信路213號,25.14901693,121.7467448,1.0,99,第二分局,
第二分局,信綠016,C-1,信綠里,基隆市信義區正信路49號,25.14901693,121.7467448,2.0,171,第二分局,
第二分局,信綠017,C-1,信綠里,基隆市信義區東信路282之45號,25.14901693,121.7467448,1.0,989,第二分局,
第二分局,信綠018,C-1,信綠里,基隆市信義區正信路175巷15之5號,25.14901693,121.7467448,2.0,144,第二分局,
第二分局,信綠019,C-1,信綠里,基隆市信義區正信路26號,25.14901693,121.7467448,1.0,579,第二分局,
