foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,一般建築,12.0,仁里村,屏東縣南州鄉仁里村4鄰仁里路86號,22.49213,120.51257,1.0,460.0,鐵路警察局高雄分局,南州車站
署屬機關,一般建築,13.0,六根村,屏東縣佳冬鄉六根村21鄰復興路21號,22.41427,120.5475,1.0,260.0,鐵路警察局高雄分局,佳冬車站
署屬機關,一般建築,14.0,枋寮村,屏東縣枋寮鄉枋寮村1鄰儲運路2號,22.36815,120.59514,1.0,160.0,鐵路警察局高雄分局,枋寮車站
署屬機關,一般建築,15.0,加祿村,屏東縣枋山鄉加祿村6鄰會社路53號,22.3314,120.62455,1.0,213.0,鐵路警察局高雄分局,加祿車站
署屬機關,一般建築,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,公務機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,公務機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,公務機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,政府機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,金融機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,飯店,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,旅館,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,旅館,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,停車場,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,市場,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,公務機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,社區活動中心,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,飯店宿舍,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,農務機構,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
恆春分局,學校,16.0,內獅村,屏東縣獅子鄉內獅村7鄰內獅巷84號,22.26719,120.66,1.0,320.0,鐵路警察局高雄分局,枋山車站
