foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,一般建築,17.0,岩灣里,臺東縣臺東市岩灣里016鄰岩灣路101巷598號,22.79386,121.12361,1.0,900.0,鐵路警察局花蓮分局,臺東車站(RMA213)
署屬機關,一般建築,18.0,岩灣里,臺東縣臺東市岩灣里016鄰岩灣路101巷598號,22.79386,121.12361,1.0,900.0,鐵路警察局花蓮分局,臺東車站(RMA214)
署屬機關,一般建築,19.0,關山鎮,臺東縣關山鎮里瓏里003鄰博愛路2號,23.04608,121.16491,1.0,156.0,鐵路警察局花蓮分局,關山車站
臺東縣防空疏散避難設施,公寓,RMA00011,中山里,臺東市中山里5鄰正氣路179號,23.04608,121.16491,1.0,88.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00026,中山里,臺東市中山里16鄰和平街184號,23.04608,121.16491,1.0,94.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00027,中山里,臺東市中山里16鄰大同路249號,23.04608,121.16491,1.0,11.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00028,中山里,臺東市中山里16鄰大同路245號,23.04608,121.16491,1.0,11.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00029,中山里,臺東市中山里16鄰和平街186號,23.04608,121.16491,1.0,104.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00030,中山里,臺東市中山里16鄰和平街178號,23.04608,121.16491,1.0,182.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00046,中山里,臺東市中山里1鄰鐵花路190號,23.04608,121.16491,1.0,84.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00047,中山里,臺東市中山里1鄰鐵花路192號,23.04608,121.16491,1.0,84.0,臺東分局,
臺東縣防空疏散避難設施,公寓,RMA00261,中山里,臺東縣臺東市中山里9鄰復興路245-247號,23.04608,121.16491,1.0,88.0,臺東分局,
臺東縣防空疏散避難設施,金玉堂文具批發廣場,RMA00297,中山里,臺東縣臺東市中山里13鄰中華路一段416號,23.04608,121.16491,1.0,218.0,臺東分局,
臺東縣防空疏散避難設施,明德中醫診所,RMA00018,中山里,臺東市中山里2鄰中華路一段546號,23.04608,121.16491,1.0,203.0,臺東分局,
臺東縣防空疏散避難設施,秀泰影城,RMA00344,中山里,臺東市中山里3鄰新生路93號,23.04608,121.16491,1.0,1727.0,臺東分局,
臺東縣防空疏散避難設施,好樂迪KTV,RMA00017,中山里,臺東市中山里2鄰中華路一段572號,23.04608,121.16491,1.0,451.0,臺東分局,
臺東縣防空疏散避難設施,英倫旅店,RMA00014,中山里,臺東市中山里2鄰中華路一段564號,23.04608,121.16491,1.0,47.0,臺東分局,
