foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
斗南鎮.大埤鄉.古坑鄉,嘉田汽車公司,,小東里,雲林縣斗南鎮小東里延平路1段100號,,,1.0,191.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,源欣興農畜食品公司,,小東里,雲林縣斗南鎮公論路12號,,,1.0,23.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,德謙製鞋公司,,小東里,雲林縣斗南鎮小東里德業路27號,,,1.0,233.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,富邦MOMO公司,,小東里,雲林縣斗南鎮小東里德業路16號,,,1.0,293.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,弘安紙業（萬能公司）,,小東里,雲林縣斗南鎮小東里大業路30-10號,,,1.0,140.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,妙一慈堂,,小東里,雲林縣斗南鎮小東里德業路29號,,,1.0,385.0,斗南分局,"第1處24人
第2處361人"
斗南鎮.大埤鄉.古坑鄉,和記食品,,小東里,雲林縣斗南鎮小東里公論路3號,,,1.0,41.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,品祥企業,,小東里,雲林縣斗南鎮小東里公論路2號,,,1.0,98.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,長城電纜,,小東里,雲林縣斗南鎮小東里公論路14號,,,1.0,56.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,裕農（嘉升）冷凍,,小東里,雲林縣斗南鎮小東里德業路33巷15號,,,1.0,51.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,黃氏製葯廠,,小東里,雲林縣斗南鎮小東里大同路444巷11號,,,1.0,138.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,總發企業,,小東里,雲林縣斗南鎮小東里公論路19號,,,1.0,536.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,木豐企業,,小東里,雲林縣斗南鎮小東里公論路21號,,,1.0,75.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,金農貿昜公司,,小東里,雲林縣斗南鎮小東里德業路36號,,,1.0,55.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,裕農冷凍公司,,小東里,雲林縣斗南鎮小東里公論路8號,,,1.0,71.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,大榮貨運,,小東里,雲林縣斗南鎮小東里公論路25號,,,1.0,170.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,振裕機械,,小東里,雲林縣斗南鎮小東里德業路28號,,,1.0,95.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,三福食品,,小東里,雲林縣斗南鎮小東里公論路17號,,,1.0,111.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,NISSSAN匯聯汽車,,小東里,雲林縣斗南鎮小東里大業路106號,,,1.0,264.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,冠軍公司,,小東里,雲林縣斗南鎮小東里德業路25巷8號,,,1.0,830.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,大德工商,,小東里,雲林縣斗南鎮小東里大同路400號,,,1.0,1534.0,斗南分局,"工商教學大樓372人
行政大樓1162人"
斗南鎮.大埤鄉.古坑鄉,富盛發實業公司,,小東里,雲林縣斗南鎮小東里德業路33巷16號,,,1.0,118.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,一般住宅,,中天里,雲林縣斗南鎮中天里中山路120號,,,1.0,206.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,一般住宅,,中天里,雲林縣斗南鎮中天里順安街112號,,,1.0,127.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,一般住宅,,中天里,雲林縣斗南鎮中天里順安街134號,,,1.0,40.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,斗南高中,,西岐里,雲林縣斗南鎮西岐里中山路212號,,,1.0,1971.0,斗南分局,"綜合大樓722人
明德樓746人
至善大樓503人"
斗南鎮.大埤鄉.古坑鄉,大埤鄉公所,,北和村,雲林縣大埤鄉北和村中山路8號,,,1.0,172.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,一般住宅,,北銘里,雲林縣斗南鎮北銘里興北路1號,,,1.0,556.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,大樓,,北銘里,雲林縣斗南鎮新生1路19號,,,1.0,1355.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,永安旅社,,北銘里,雲林縣斗南鎮北銘里永安街132號,,,1.0,123.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,福安醫院,,北銘里,雲林縣斗南鎮永安街58號,,,1.0,1048.0,斗南分局,"福安醫院661
明修女會268人
斗南幼稚園119人"
斗南鎮.大埤鄉.古坑鄉,雲林縣農會,,北銘里,雲林縣斗南鎮北銘里永安街57號,,,1.0,1083.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,南都汽車斗南服務廠,,北銘里,雲林縣斗南鎮北銘里延平路2段87號,,,1.0,103.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,公寓,,古坑村,雲林縣古坑鄉古坑村中山路5巷2號之1,,,1.0,66.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,公寓,,古坑村,雲林縣古坑鄉古坑村中山路9號,,,1.0,64.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,古坑鄉公所,,古坑村,雲林縣古坑鄉古坑村中山路40號,,,1.0,1358.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,豐世紀股份有限公司,,古坑村,雲林縣古坑鄉古坑村中山路3號,,,1.0,131.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,劍湖山遊樂世界,,永光村,雲林縣古坑鄉永光村大湖口67號,,,1.0,6147.0,斗南分局,"王子大飯店5814人
兒童王國225人
遊樂世界108人"
斗南鎮.大埤鄉.古坑鄉,古坑鄉公所,,西平村,雲林縣古坑鄉西平村西平路64號,,,1.0,60.0,斗南分局,
斗南鎮.大埤鄉.古坑鄉,古坑市場,,西平村,雲林縣古坑鄉西平村中山路135號,,,1.0,72.0,斗南分局,
