foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
臺中第五分局,北屯派出所,,,臺中市北屯區北屯路106號,"24.163834 ","120.693798 ",,600.0,,
臺中第五分局,消防局北屯分隊,,,臺中市北屯區北屯路88號,"24.163108 ","120.693558 ",,200.0,,
臺中第五分局,四維國小,,,臺中市北屯區文心路四段956號,"24.170446 ","120.694954 ",,4131.0,,
臺中第五分局,公路警察大隊,,,臺中市北屯區北屯路190號,"24.165714 ","120.694978 ",,200.0,,
臺中第五分局,三光國中,,,臺中市北屯區北屯路226巷94弄2號,"24.169013 ","120.697141 ",,1447.0,,
臺中第五分局,東山高中,,,臺中市北屯區景賢六路200號,"24.166557 ","120.712160 ",,3884.0,,
臺中第五分局,建功國小,,,臺中市北屯區軍和街43號,"24.175950 ","120.715447 ",,200.0,,
臺中第五分局,北屯國小,,,臺中市北屯區進化北路2號,"24.163285 ","120.690653 ",,300.0,,
臺中第五分局,建功國小,,,臺中市北屯區軍和街43號,"24.175950 ","120.715447 ",,1311.0,,
臺中第五分局,郵局,,,臺中市北屯區進化北路37之1號,"24.162711 ","120.691100 ",,120.0,,
臺中第五分局,台灣企銀,,,臺中市北屯區進化北路53號,"24.162766 ","120.690501 ",,300.0,,
臺中第五分局,合作金庫銀行,,,臺中市北屯區北屯路147號,"24.163336 ","120.693003 ",,71.0,,
臺中第五分局,"東山高中        ",,,臺中市北屯區36鄰景賢南一路26號,"24.166160 ","120.711230 ",,438.0,,
臺中第五分局,大樓,,,臺中市北屯區太原路三段139巷1號,"24.165179 ","120.689791 ",,500.0,,
臺中第五分局,大樓,,,臺中市北屯區興安路一段19號,"24.165665 ","120.691222 ",,500.0,,
臺中第五分局,大樓,,,臺中市北屯區興安路一段17號,"24.165588 ","120.691138 ",,300.0,,
臺中第五分局,大樓,,,臺中市北屯區青島路四段239號,"24.165444 ","120.692329 ",,500.0,,
臺中第五分局,公寓,,,臺中市北屯區興安路一段1號,"24.165241 ","120.691114 ",,150.0,,
