foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,一般建築,10,甲南里,高雄市路竹區甲南里20鄰天祐路24號,22.87835,120.25402,1,146.0,鐵路警察局高雄分局,大湖車站
署屬機關,一般建築,11,久堂里,高雄市大樹區久堂里3鄰久堂路鐵路巷15號,22.6585,120.4218,1,192.0,鐵路警察局高雄分局,九曲堂車站
署屬機關,私公司,1,光明里,高雄市鹽埕區光明里3鄰第三船渠北岸,22.619899,120.280686,1,90.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,私公司,2,麗興里,高雄市鼓山區麗興里4鄰蓬萊路1號,22.617412,120.280503,1,108.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,私公司,3,麗興里,高雄市鼓山區麗興里004鄰蓬萊路8號,22.616447,120.284843,1,80.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,高雄港警隊,4,麗興里,高雄市鼓山區麗興里004鄰蓬萊路24號,22.619076,120.278754,1,262.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,私公司,5,麗興里,高雄市鼓山區麗興里4鄰蓬萊路30號,22.619893,120.279017,1,128.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,私公司,6,踃船頭里,高雄市鼓山區哨船頭里15鄰蓮海路1-1號,22.618239,120.266411,1,49.0,高雄港務警察總隊三號碼頭中隊,
署屬機關,碼頭,7,鎮北里,高雄市前鎮區鎮北里1鄰高雄港30號碼頭,22.597381,120.296409,1,322.0,高雄港務警察總隊中島中隊,
署屬機關,碼頭,8,鎮北里,高雄市前鎮區鎮北里1鄰高雄港43號碼頭,22.608566,120.283101,1,253.0,高雄港務警察總隊中島中隊,
署屬機關,碼頭,9,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593993,120.291481,1,64.0,高雄港務警察總隊中島中隊,
署屬機關,碼頭,10,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593993,120.291501,1,25.0,高雄港務警察總隊中島中隊,
署屬機關,私公司,11,鎮北里,高雄市前鎮區鎮北里1鄰大華三路16-1號,22.606176,120.286227,1,134.0,高雄港務警察總隊中島中隊,
署屬機關,碼頭,12,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593379,120.29193,1,178.0,高雄港務警察總隊中島中隊,
署屬機關,私公司,13,鎮北里,高雄市前鎮區鎮北里1鄰大華一路32-1號,22.600738,120.293126,1,123.0,高雄港務警察總隊中島中隊,
署屬機關,交通部民用航空局,13,山東里,高雄市小港區山東里中山四路2號(高雄市小港區機場段454號),22.57044941,120.3425307,地下1層,207.0,航空警察局高雄分局,
署屬機關,交通部民用航空局,14,山東里,高雄市小港區山東里中山四路2號(高雄市小港區機場段502號),22.57055,120.3425307,地下1層,733.0,航空警察局高雄分局,
署屬機關,地下停車場,A31,後鄉里,高雄市路竹區後鄉路35號,22.84283386,120.2454583,1,19031.0,保安警察第二總隊一大二中,路科
署屬機關,地下停車場,A32,後鄉里,高雄市路竹區路科五路23號,22.83136397,120.2557108,1,6280.0,保安警察第二總隊一大二中,路科
署屬機關,地下停車場,A33,後鄉里,高雄市路竹區路科五路82號,22.83616407,120.2562137,1,9076.0,保安警察第二總隊一大二中,路科
署屬機關,地下停車場,A34,北嶺里,高雄市路竹區路科二路55號,22.82888308,120.2589865,1,6935.0,保安警察第二總隊一大二中,路科
署屬機關,地下停車場,A35,鹽田里,高雄市永安區興達路6號,22.85890082,120.2004665,1,500.0,保安警察第二總隊一大二中,興達
署屬機關,大樓,B1,鎮北里,高雄市前鎮區南三路4號,22.59547844,120.2936414,2,429.0,保安警察第二總隊一大三中,高雄加工區
署屬機關,大樓,B2,鎮北里,高雄市前鎮區南二路1號,22.5965268,120.2938623,2,3555.0,保安警察第二總隊一大三中,高雄加工區
署屬機關,大樓,B3,鎮北里,高雄市前鎮區北一路18號,22.60615534,120.287926,2,4081.0,保安警察第二總隊一大三中,高雄加工區
署屬機關,大樓,B4,鎮北里,高雄市前鎮區南四路7號,22.59383533,120.2938201,1,1020.0,保安警察第二總隊一大三中,高雄加工區
署屬機關,大樓,B5,鎮北里,高雄市前鎮區南六路5號,22.59132801,120.295063,1,4153.0,保安警察第二總隊一大三中,高雄加工區
署屬機關,大樓,B6,鎮北里,高雄市前鎮區南七路2號,22.59035041,120.2964962,1,445.0,保安警察第二總隊一大三中,高雄加工區
