foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
臺中大甲分局,一般住家,,文武里,臺中市大甲區文武里新政路78號,"24.349150 ","120.624874 ",,64.0,,
臺中大甲分局,一般住家,,順天里,臺中市大甲區順天里中華街122號,"24.345867 ","120.620191 ",,453.0,,
臺中大甲分局,一般住家,,庄美里,臺中市大甲區庄美里興安路138之212號,"24.350670 ","120.610566 ",,196.0,,
臺中大甲分局,一般住家,,庄美里,臺中市大甲區庄美里興安路138之213號,"24.350714 ","120.610484 ",,204.0,,
臺中大甲分局,一般住家,,朝陽里,臺中市大甲區朝陽里鎮政路118號,"24.348998 ","120.626907 ",,80.0,,
臺中大甲分局,一般住家,,文武里,臺中市大甲區文武里五福街256號,"24.351700 ","120.621986 ",,197.0,,
臺中大甲分局,一般住家,,大甲里,臺中市大甲區大甲里鎮瀾街180號,"24.346041 ","120.624447 ",,216.0,,
臺中大甲分局,一般住家,,庄美里,臺中市大甲區庄美里忠孝街36號,"24.348386 ","120.618126 ",,348.0,,
臺中大甲分局,大樓,,后里里,臺中市后里區后里里三豐路三段1100號,"24.308109 ","120.722514 ",,1141.0,,
臺中大甲分局,大樓,,中山里,臺中市大甲區中山里甲東路598號,"24.340344 ","120.627201 ",,991.0,,
臺中大甲分局,大樓,,文武里,臺中市大甲區文武里仁愛街211號,"24.352218 ","120.620608 ",,946.0,,
臺中大甲分局,大樓,,義和里,臺中市大甲區義和里義和二街120巷79號,"24.336233 ","120.620987 ",,1161.0,,
臺中大甲分局,大樓,,順天里,臺中市大甲區順天里雁門路21號,"24.346623 ","120.622493 ",,240.0,,
臺中大甲分局,公寓大廈,,武曲里,臺中市大甲區橫圳街265之2號,"24.357754 ","120.612986 ",,1072.0,,
臺中大甲分局,公寓大廈,,庄美里,臺中市大甲區興安路72之6號,"24.348175 ","120.614267 ",,869.0,,
臺中大甲分局,公寓大廈,,中山里,臺中市大甲區甲后路五段381號,"24.343862 ","120.635472 ",,2934.0,,
臺中大甲分局,公寓大廈,,頂店里,臺中市大甲區大智街205巷1號,"24.355843 ","120.626507 ",,2056.0,,
臺中大甲分局,公寓大廈,,頂店里,臺中市大甲區中山路一段1122巷67號,"24.355315 ","120.631808 ",,154.0,,
臺中大甲分局,住宅,,墩北里,臺中市后里區三豐路三段736號,"24.300604 ","120.723129 ",,40.0,,
臺中大甲分局,住宅,,薰風里,臺中市大甲區水源路2號,"24.342711 ","120.622291 ",,1069.0,,
臺中大甲分局,公寓大廈,,庄美里,臺中市大甲區庄美里經國路375巷120號,"24.348821 ","120.615759 ",,904.0,,
臺中大甲分局,公寓大廈,,墩東里,臺中市后里區成功路526號,"24.305614 ","120.717617 ",,834.0,,
